min_salary,remote_allowed,formatted_experience_level,location,employee_count,industries,company
24478.626366758526,0,5,4221,863.0,23,23
125000.0,1,2,3950,358.0,15,16
125000.0,1,2,1980,358.0,15,16
125000.0,1,2,4127,358.0,15,16
25.818181818181813,0,2,3977,17950.8,8,2003
125000.0,1,2,430,358.0,15,16
125000.0,1,2,2068,358.0,15,16
22081.015990875716,0,0,545,863.0,0,23
54600.0,0,2,3643,341.0,35,44
125000.0,1,2,231,358.0,15,16
18.07812454620934,0,0,2251,48.0,36,21
54092.99947622192,0,6,1436,1253.0,29,38
140000.0,0,4,4093,0.0,11,45
55021.25,1,0,2925,3.0,14,15
125000.0,1,2,1626,358.0,15,16
47839.5218841294,0,2,2696,2289.2336584154864,23,7720
125000.0,1,2,2071,358.0,15,16
125000.0,1,2,3785,358.0,15,16
76118.0150723249,0,2,1368,863.0,13,23
125000.0,1,2,3297,358.0,15,16
125000.0,1,2,4496,358.0,15,16
125000.0,1,2,421,358.0,15,16
110000.0,0,0,2925,661.0,37,46
125000.0,1,2,1491,358.0,15,16
125000.0,1,2,3363,358.0,15,16
45996.7574153532,0,2,3127,89.0,7,47
30022.333333333332,1,2,4203,2.0,13,48
200000.0,0,2,2910,1849.0,38,49
125000.0,1,2,3449,358.0,15,16
125000.0,1,2,866,358.0,15,16
125000.0,1,2,1702,358.0,15,16
67399.61806067849,0,2,2924,103.0,10,50
7930.892250042031,1,3,742,0.0,39,51
157083.33333333334,0,0,148,0.0,40,52
125000.0,1,2,1338,358.0,15,16
125000.0,1,2,189,358.0,15,16
17.5,0,4,4235,2088.0,28,53
17.5,0,4,4235,2088.0,28,53
144591.0,0,0,3645,737.0,41,54
90000.0,0,3,2924,1534.3333333333333,37,76
25.21,1,0,4203,1836.0,42,55
15420.211958804392,0,4,3965,2917.0,15,56
60000.0,0,2,1441,31.0,43,57
125000.0,1,2,2149,358.0,15,16
115000.0,0,2,870,89.0,7,47
183377.50865714683,0,4,300,2088.0,28,53
20.0,0,0,1808,21.0,11,58
16.6,0,0,4139,2195.0,11,59
44688.10452018061,1,3,2602,0.0,28,60
30022.333333333332,1,2,4203,20.0,3,61
36.0,0,2,3317,1101.0,11,62
13944.010576576122,0,0,2562,1461.0,15,63
12100.106092655284,0,2,3122,4854.0,44,64
27.333333333333332,0,2,3270,5.0,28,65
165000.0,0,2,2605,341.0,32,66
30022.333333333332,1,2,4203,7.0,38,67
30022.333333333332,1,4,4203,273.0,45,68
21.333333333333332,0,0,1808,21.0,11,58
33415.41759326406,0,2,3078,225.0,46,69
9651.0,0,0,2854,2348.0,11,70
4741.623616236162,0,3,710,462.0,47,71
